JobName,ReqMem,ReqCPUs,ReqGPUs,ReqDuration,ActualDuration,Submit
job261221,450000000,18,0,345600,1,1614837941
job261222,6000000,2,0,86400,16015,1614844251
job261223,16000000,1,0,345600,2156,1614865609
job261224,450000000,18,0,345600,1,1614865641
job261225,450000000,18,0,345600,1917,1614865729
job261226,20000000,20,0,18000,3484,1614866860
job261227,8000000,1,0,345600,1112,1614869045
job261228,32000000,8,0,864000,88138,1614869364
job261229,20000000,20,0,518400,2003,1614869497
job261230,20000000,20,0,518400,1244,1614869620
job261231,32000000,16,0,864000,76421,1614870070
job261232,32000000,16,0,864000,130418,1614870070
job261233,32000000,16,0,864000,32394,1614870070
job261234,1000000,1,0,86400,43274,1614870201
job261235,4000000,1,0,86400,1150,1614870218
job261236,124000000,16,0,864000,56838,1614870273
job261237,32000000,4,0,86400,2775,1614870535
job261238,16000000,16,0,172740,88917,1614870978
job261239,16000000,16,0,172740,117487,1614870978
job261240,16000000,16,0,172740,99882,1614870978
job261241,16000000,16,0,172740,124623,1614870978
job261242,16000000,16,0,172740,128195,1614870978
job261243,16000000,16,0,172740,71225,1614870978
job261244,16000000,16,0,172740,130691,1614870979
job261245,16000000,16,0,172740,67502,1614870979
job261246,16000000,16,0,172740,125904,1614870979
job261247,16000000,16,0,172740,82720,1614870979
job261248,16000000,16,0,172740,140410,1614870979
job261249,16000000,16,0,172740,137740,1614870980
job261250,16000000,16,0,172740,77753,1614870980
job261251,16000000,16,0,172740,137155,1614870980
job261252,16000000,16,0,172740,136863,1614870980
job261253,16000000,16,0,172740,74308,1614870980
job261254,16000000,16,0,172740,134207,1614870980
job261255,16000000,16,0,172740,138147,1614870981
job261256,16000000,16,0,172740,84636,1614870981
job261257,16000000,16,0,172740,132102,1614870981
job261258,16000000,16,0,172740,113355,1614870981
job261259,16000000,16,0,172740,129353,1614870983
job261260,16000000,16,0,172740,113054,1614870983
job261261,16000000,16,0,172740,112354,1614870983
job261262,16000000,16,0,172740,112580,1614870983
job261263,16000000,16,0,172740,113586,1614870983
job261264,16000000,16,0,172740,112181,1614870984
job261265,16000000,16,0,172740,110702,1614870984
job261266,16000000,16,0,172740,106249,1614870984
job261267,16000000,16,0,172740,105941,1614870984
job261268,16000000,16,0,172740,104179,1614870984
job261269,16000000,16,0,172740,102489,1614870984
job261270,16000000,16,0,172740,107166,1614870985
job261271,16000000,16,0,172740,108198,1614870985
job261272,16000000,16,0,172740,110065,1614870985
job261273,16000000,16,0,172740,112065,1614870985
job261274,16000000,16,0,172740,112732,1614870986
job261275,16000000,16,0,172740,109871,1614870986
job261276,16000000,16,0,172740,112283,1614870986
job261277,16000000,16,0,172740,109622,1614870986
job261278,16000000,16,0,172740,110525,1614870986
job261279,16000000,16,0,172740,110099,1614870986
job261280,16000000,16,0,172740,111905,1614870987
job261281,16000000,16,0,172740,111768,1614870987
job261282,4000000,1,0,86400,1372,1614871929
job261283,300000000,1,0,86400,3501,1614875602
job261284,32000000,16,0,687600,32169,1614875844
job261285,300000000,12,0,345600,7392,1614876265
job261286,32000000,16,0,257400,65863,1614876967
job261287,8000000,4,0,194400,136884,1614877002
job261288,8000000,4,0,194400,155346,1614877164
job261289,8000000,4,0,230400,106547,1614877334
job261290,100000000,25,0,84600,479,1614877462
job261291,8000000,4,0,230400,137775,1614877537
job261292,8000000,4,0,230400,87469,1614877653
job261293,300000000,1,0,86400,22,1614878594
job261294,300000000,1,0,86400,15,1614878676
job261295,4000000,4,0,86340,11586,1614878702
job261296,300000000,1,0,86400,2,1614879051
job261297,300000000,1,0,86400,7,1614879115
job261298,100000000,25,0,84600,762,1614879507
job261299,300000000,1,0,86400,3,1614880867
job261300,4000000,1,0,86400,1305,1614880886
job261301,100000000,25,0,84600,411,1614880913
job261302,300000000,1,0,86400,9462,1614880971
job261303,4000000,2,0,86400,18545,1614881323
job261304,4000000,2,0,86400,17219,1614881527
job261305,100000000,25,0,84600,442,1614881943
job261306,100000000,25,0,84600,18,1614882266
job261307,100000000,25,0,84600,1753,1614882325
job261308,4000000,1,0,86400,1086,1614882424
job261309,100000000,25,0,84600,423,1614882480
job261310,4000000,1,0,86400,1103,1614884586
job261311,32000000,4,0,86400,484,1614884601
job261312,100000000,25,0,84600,463,1614885860
job261313,16000000,8,0,482400,235625,1614886722
job261314,100000000,25,0,84600,449,1614886761
job261315,16000000,8,0,446400,64096,1614887301
job261316,100000000,25,0,84600,487,1614887465
job261317,1000000,1,0,2419200,4360,1614887912
job261318,1000000,1,0,2419200,4438,1614887968
job261319,32000000,16,0,687600,4,1614888007
job261320,32000000,16,0,687600,11,1614888011
job261321,32000000,16,0,687600,12,1614888011
job261322,32000000,16,0,687600,1,1614888013
job261323,32000000,16,0,687600,1,1614888013
job261324,32000000,16,0,687600,1,1614888014
job261325,32000000,16,0,687600,1,1614888014
job261326,32000000,16,0,687600,1,1614888015
job261327,32000000,16,0,687600,1,1614888015
job261328,32000000,16,0,687600,1,1614888016
job261329,32000000,16,0,687600,1,1614888016
job261330,32000000,16,0,687600,1,1614888017
job261331,32000000,16,0,687600,1,1614888017
job261332,32000000,16,0,687600,1,1614888018
job261333,32000000,16,0,687600,1,1614888018
job261334,32000000,16,0,687600,1,1614888019
job261335,32000000,16,0,687600,1,1614888019
job261336,32000000,16,0,687600,1,1614888020
job261337,32000000,16,0,687600,1,1614888020
job261338,32000000,16,0,687600,1,1614888021
job261339,32000000,16,0,687600,1,1614888028
job261340,32000000,16,0,687600,1,1614888034
job261341,32000000,16,0,687600,1,1614888036
job261342,1000000,1,0,2419200,4381,1614888044
job261343,1000000,1,0,2419200,4426,1614888080
job261344,100000000,25,0,84600,432,1614888250
job261345,32000000,4,0,86400,748,1614888523
job261346,32000000,16,0,687600,76,1614888612
job261347,32000000,16,0,687600,78,1614888876
job261348,40000000,10,0,86400,264,1614888938
job261349,24000000,8,0,7200,7,1614888960
job261350,16000000,8,0,482400,27978,1614888999
job261351,100000000,10,0,345600,10610,1614889079
job261352,40000000,10,0,86400,14,1614889114
job261353,32000000,16,0,687600,21,1614889161
job261354,1000000,1,0,2419200,34,1614889182
job261355,16000000,8,0,338400,205037,1614889302
job261356,32000000,16,0,687600,1,1614889333
job261357,1000000,1,0,2419200,23,1614889367
job261358,100000000,25,0,84600,837,1614889373
job261359,16000000,8,0,482400,428216,1614889391
job261360,16000000,8,0,482400,196574,1614889467
job261361,1000000,1,0,2419200,3149,1614889524
job261362,8000000,1,0,687600,77,1614889540
job261363,8000000,1,0,687600,12,1614889686
job261364,100000000,1,0,72000,66985,1614889914
job261365,16000000,1,0,687600,14,1614889922
job261366,16000000,1,0,687600,22311,1614889935
job261367,16000000,1,0,687600,18448,1614889936
job261368,16000000,1,0,687600,5118,1614889937
job261369,16000000,1,0,687600,5112,1614889939
job261370,24000000,8,0,7200,8,1614890386
job261371,16000000,1,0,687600,8,1614890555
job261372,100000000,25,0,84600,441,1614890590
job261373,16000000,1,0,687600,4,1614890704
job261374,16000000,1,0,687600,5,1614891168
job261375,16000000,1,0,687600,5,1614891434
job261376,300000000,1,0,86400,2370,1614891546
job261377,16000000,1,0,687600,5,1614891784
job261378,16000000,1,0,687600,5,1614892131
job261379,8000000,4,0,144000,74848,1614892387
job261380,16000000,1,0,687600,4,1614892399
job261381,16000000,1,0,687600,3,1614892844
job261382,16000000,1,0,687600,3,1614893014
job261383,16000000,1,0,687600,4,1614893629
job261384,16000000,1,0,687600,4,1614893648
job261385,1000000,1,0,2419200,3550,1614894094
job261386,16000000,1,0,687600,4,1614894243
job261387,16000000,1,0,687600,4,1614894455
job261388,40000000,10,0,86400,89,1614894644
job261389,8000000,4,0,144000,90653,1614894684
job261390,16000000,1,0,687600,5,1614894859
job261391,16000000,1,0,687600,3,1614895261
job261392,16000000,1,0,687600,4,1614895471
job261393,32000000,4,0,86400,2143,1614895982
job261394,16000000,1,0,687600,4,1614896087
job261395,16000000,1,0,687600,5,1614896222
job261396,16000000,1,0,687600,5,1614896710
job261397,40000000,10,0,86400,45,1614896758
job261398,100000000,25,0,84600,103,1614896873
job261399,16000000,1,0,687600,8,1614896923
job261400,40000000,10,0,86400,17,1614897022
job261401,16000000,1,0,687600,7,1614897333
job261402,100000000,25,0,84600,257,1614897392
job261403,4000000,4,0,216000,751,1614897439
job261404,30000000,2,0,878400,1,1614897543
job261405,4000000,4,0,216000,900,1614897556
job261406,16000000,4,0,82800,35,1614897574
job261407,16000000,1,0,687600,3,1614897640
job261408,30000000,2,0,878400,4,1614897645
job261409,16000000,4,0,82800,2279,1614897651
job261410,1000000,1,0,86400,7,1614897678
job261411,1000000,1,0,86400,2,1614897687
job261412,4000000,4,0,216000,929,1614897699
job261413,16000000,4,0,82800,5,1614897791
job261414,30000000,2,0,878400,18,1614897877
job261415,16000000,4,0,82800,2254,1614897883
job261416,40000000,10,0,86400,37,1614897893
job261417,100000000,25,0,84600,5,1614897924
job261418,16000000,1,0,687600,5,1614897952
job261419,100000000,25,0,84600,4,1614897981
job261420,16000000,4,0,82800,6,1614898021
job261421,16000000,4,0,82800,1836,1614898048
job261422,100000000,25,0,84600,46,1614898313
job261423,4000000,4,0,216000,1175,1614898325
job261424,40000000,10,0,86400,182,1614898363
job261425,16000000,1,0,687600,6,1614898389
job261426,16000000,1,0,687600,5,1614898571
job261427,1000000,1,0,2419200,5598,1614898950
job261428,16000000,1,0,687600,3,1614899112
job261429,16000000,1,0,687600,6,1614899186
job261430,16000000,1,0,687600,6,1614899792
job261431,16000000,1,0,687600,4,1614899831
job261432,8000000,4,0,144000,18838,1614900302
job261433,16000000,1,0,687600,6,1614900408
job261434,16000000,1,0,687600,3,1614900540
job261435,8000000,1,1,604800,40199,1614900814
job261436,16000000,1,0,687600,5,1614901023
job261437,40000000,10,0,86400,1045,1614901120
job261438,16000000,1,0,687600,4,1614901254
job261439,16000000,1,0,687600,5,1614901638
job261440,8000000,4,0,144000,26646,1614901734
job261441,8000000,1,1,604800,9,1614901893
job261442,16000000,1,0,687600,4,1614902115
job261443,16000000,1,0,687600,4,1614902254
job261444,8000000,1,1,604800,24738,1614902797
job261445,16000000,1,0,687600,5,1614902901
job261446,8000000,1,1,604800,28275,1614902992
job261447,1000000,1,0,60,1,1614903222
job261448,1000000,8,0,60,1,1614903227
job261449,8000000,1,1,604800,8771,1614903422
job261450,8000000,1,1,604800,27777,1614903498
job261451,16000000,1,0,687600,9,1614903636
job261452,50000000,4,0,36000,24344,1614904216
job261453,16000000,1,0,687600,6,1614904438
job261454,24000000,4,0,144000,90027,1614904663
job261455,8000000,4,0,86400,16626,1614904692
job261456,60000000,12,0,1209600,11027,1614904694
job261457,60000000,12,0,1209600,8470,1614904704
job261458,60000000,12,0,1209600,11377,1614904714
job261459,60000000,12,0,1209600,7942,1614904721
job261460,60000000,12,0,1209600,11726,1614904731
job261461,8000000,4,0,86400,17674,1614904740
job261462,24000000,4,0,144000,75709,1614904776
job261463,24000000,4,0,144000,10,1614904892
job261464,24000000,4,0,144000,78171,1614904920
job261465,128000000,8,0,172800,62,1614905005
job261466,128000000,8,0,172800,152,1614905018
job261467,16000000,1,0,687600,5,1614905154
job261468,16000000,1,0,687600,5,1614905216
job261469,16000000,1,0,687600,3,1614905221
job261470,16000000,1,0,687600,1,1614905232
job261471,128000000,8,0,172800,68,1614905266
job261472,16000000,1,0,687600,2,1614905314
job261473,128000000,8,0,172800,151,1614905373
job261474,16000000,1,0,687600,3,1614905476
job261475,16000000,1,0,687600,11,1614905479
job261476,16000000,1,0,687600,13,1614905479
job261477,16000000,1,0,687600,4,1614905481
job261478,16000000,1,0,687600,5,1614905481
job261479,16000000,1,0,687600,5,1614905482
job261480,16000000,1,0,687600,9,1614905482
job261481,16000000,1,0,687600,9,1614905483
job261482,16000000,1,0,687600,5,1614905483
job261483,16000000,1,0,687600,6,1614905484
job261484,16000000,1,0,687600,1,1614905484
job261485,16000000,1,0,687600,5,1614905485
job261486,16000000,1,0,687600,5,1614905485
job261487,16000000,1,0,687600,3,1614905485
job261488,16000000,1,0,687600,5,1614905485
job261489,16000000,1,0,687600,5,1614905486
job261490,16000000,1,0,687600,5,1614905486
job261491,16000000,1,0,687600,1,1614905486
job261492,16000000,1,0,687600,5,1614905486
job261493,16000000,1,0,687600,1,1614905487
job261494,16000000,1,0,687600,1,1614905487
job261495,16000000,1,0,687600,1,1614905487
job261496,16000000,1,0,687600,1,1614905487
job261497,16000000,1,0,687600,0,1614905488
job261498,16000000,1,0,687600,0,1614905488
job261499,16000000,1,0,687600,3,1614905488
job261500,16000000,1,0,687600,2,1614905488
job261501,16000000,1,0,687600,5,1614905488
job261502,16000000,1,0,687600,1,1614905489
job261503,16000000,1,0,687600,1,1614905489
job261504,16000000,1,0,687600,1,1614905489
job261505,16000000,1,0,687600,1,1614905490
job261506,16000000,1,0,687600,1,1614905490
job261507,16000000,1,0,687600,1,1614905490
job261508,16000000,1,0,687600,1,1614905490
job261509,16000000,1,0,687600,1,1614905490
job261510,16000000,1,0,687600,1,1614905491
job261511,16000000,1,0,687600,2,1614905491
job261512,16000000,1,0,687600,0,1614905491
job261513,16000000,1,0,687600,0,1614905491
job261514,16000000,1,0,687600,1,1614905491
job261515,16000000,1,0,687600,1,1614905492
job261516,16000000,1,0,687600,1,1614905492
job261517,16000000,1,0,687600,1,1614905493
job261518,16000000,1,0,687600,1,1614905540
job261519,16000000,1,0,687600,10,1614905541
job261520,16000000,1,0,687600,10,1614905541
job261521,16000000,1,0,687600,1,1614905543
job261522,16000000,1,0,687600,1,1614905543
job261523,16000000,1,0,687600,1,1614905544
job261524,16000000,1,0,687600,1,1614905544
job261525,16000000,1,0,687600,1,1614905544
job261526,16000000,1,0,687600,1,1614905544
job261527,16000000,1,0,687600,1,1614905545
job261528,16000000,1,0,687600,1,1614905545
job261529,16000000,1,0,687600,1,1614905546
job261530,16000000,1,0,687600,1,1614905546
job261531,16000000,1,0,687600,2,1614905546
job261532,16000000,1,0,687600,2,1614905547
job261533,16000000,1,0,687600,2,1614905547
job261534,16000000,1,0,687600,2,1614905547
job261535,16000000,1,0,687600,2,1614905547
job261536,16000000,1,0,687600,2,1614905547
job261537,16000000,1,0,687600,2,1614905548
job261538,16000000,1,0,687600,0,1614905548
job261539,16000000,1,0,687600,2,1614905548
job261540,16000000,1,0,687600,2,1614905548
