MachineName,TotalMemory,TotalCPUs,TotalGPUs
dwarf01,128076000,32,0
dwarf02,128060000,32,0
dwarf03,128060000,32,0
dwarf04,128060000,32,0
dwarf05,128060000,32,0
dwarf06,128060000,32,0
dwarf07,128060000,32,0
dwarf08,128060000,32,0
dwarf09,128060000,32,0
dwarf10,128060000,32,0
dwarf11,128060000,32,0
dwarf12,128061000,32,0
dwarf13,127812000,32,0
dwarf14,128061000,32,0
dwarf15,128060000,32,0
dwarf16,128060000,32,0
dwarf17,128060000,32,0
dwarf18,128060000,32,0
dwarf19,127812000,32,0
dwarf20,128060000,32,0
dwarf21,128060000,32,0
dwarf22,128060000,32,2
dwarf23,128060000,32,2
dwarf24,95925000,32,2
dwarf25,128060000,32,2
dwarf26,128060000,32,0
dwarf27,128060000,32,0
dwarf28,128060000,32,0
dwarf29,128060000,32,2
dwarf30,128076000,32,2
dwarf31,95806000,32,2
dwarf32,128060000,32,2
dwarf33,128060000,32,2
dwarf34,128060000,32,2
dwarf35,128060000,32,2
dwarf36,128060000,32,2
dwarf37,128060000,32,2
dwarf38,515108000,32,2
dwarf39,128060000,32,2
dwarf40,128075000,32,0
dwarf41,128075000,32,0
dwarf42,128075000,32,0
dwarf43,128075000,32,0
dwarf44,128075000,32,0
dwarf45,128075000,32,0
dwarf46,128075000,32,0
dwarf47,128075000,32,0
dwarf48,515108000,32,0
dwarf49,515108000,32,0
dwarf50,128528000,32,0
dwarf51,128528000,32,0
dwarf52,128528000,32,0
dwarf53,128528000,32,0
dwarf54,515576000,32,0
dwarf55,515576000,32,0
dwarf56,128528000,32,0
dwarf57,128528000,32,0
dwarf58,128545000,32,0
dwarf59,128545000,32,0
dwarf60,128545000,32,0
dwarf61,128545000,32,0
dwarf62,515681000,32,0
dwarf63,515681000,32,0
dwarf64,514850000,32,0
elf06,64039000,16,0
elf07,64039000,16,0
elf08,47912000,16,0
elf09,64039000,16,0
elf10,64039000,16,0
elf11,55975000,16,0
elf12,64039000,16,0
elf13,64039000,16,0
elf14,64039000,16,0
elf15,64039000,16,0
elf16,64039000,16,0
elf17,64039000,16,0
elf18,64039000,16,0
elf19,55990000,16,0
elf21,55990000,16,0
elf23,64054000,16,0
elf24,64054000,16,0
elf25,64039000,16,0
elf26,55990000,16,0
elf28,55990000,16,0
elf29,64054000,16,0
elf31,55990000,16,0
elf32,55990000,16,0
elf33,64039000,16,0
elf34,64054000,16,0
elf35,64054000,16,0
elf37,64039000,16,0
elf38,64039000,16,0
elf41,64086000,16,0
elf43,64071000,16,0
elf44,64071000,16,0
elf45,64088000,16,0
elf46,64189000,16,0
elf47,64071000,16,0
elf49,64071000,16,0
elf52,64088000,16,0
elf53,64206000,16,0
elf57,96340000,20,0
elf59,96325000,20,0
elf61,84244000,20,0
elf64,80213000,20,0
elf66,96340000,20,0
elf67,96340000,20,0
elf68,80198000,20,0
elf70,96340000,20,0
elf71,96340000,20,0
elf73,338245000,20,0
elf74,386626000,20,0
elf75,386626000,20,0
elf76,322118000,20,0
elf77,96340000,20,0
elf78,386626000,20,0
elf79,386626000,20,0
elf80,64070000,20,0
elf81,64070000,20,0
elf83,64070000,20,0
elf84,64070000,20,0
elf85,64070000,20,0
gremlin01,15755000,8,0
gremlin02,15755000,8,0
gremlin03,15755000,8,0
gremlin04,15755000,8,0
hero01,128536000,24,0
hero02,128536000,24,0
hero03,128536000,24,0
hero04,128536000,24,0
hero05,128520000,24,0
hero06,128520000,24,0
hero07,128536000,24,0
hero08,128536000,24,0
hero09,128520000,24,0
hero10,128520000,24,0
hero11,128520000,24,0
hero12,128520000,24,0
hero13,128536000,24,0
hero14,128536000,24,0
hero15,128536000,24,0
hero16,128536000,24,0
hero17,128520000,24,0
hero18,128520000,24,0
hero19,128520000,24,0
hero20,128520000,24,0
hero21,128520000,24,0
hero22,128520000,24,0
hero23,128536000,24,0
hero24,128536000,24,0
hero25,128520000,24,0
hero26,128536000,24,0
hero27,128520000,24,0
hero29,128520000,24,0
hero30,128520000,24,0
hero31,128536000,24,0
hero32,128536000,24,0
hero33,128520000,24,0
hero34,128520000,24,0
hero35,128520000,24,0
hero36,128520000,24,0
hero37,515586000,24,0
hero38,515586000,24,0
hero39,257673000,24,0
hero40,515896000,24,0
hero41,515586000,24,0
hero42,515586000,24,0
hero43,515571000,24,0
hero44,515571000,24,0
hero45,515253000,24,0
hero46,515253000,24,0
hero47,128206000,24,0
hero48,128190000,24,0
hero49,128206000,24,0
hero50,128206000,24,0
hero51,128206000,24,0
hero52,128206000,24,0
hero53,128206000,24,0
hero54,128206000,24,0
mole001,31786000,20,0
mole002,31786000,20,0
mole003,31786000,20,0
mole004,31786000,20,0
mole005,31786000,20,0
mole006,31786000,20,0
mole007,31905000,20,0
mole008,31786000,20,0
mole009,31786000,20,0
mole010,31786000,20,0
mole011,23722000,20,0
mole012,31786000,20,0
mole013,31786000,20,0
mole014,31786000,20,0
mole015,31786000,20,0
mole016,31790000,20,0
mole017,31786000,20,0
mole018,31786000,20,0
mole019,31786000,20,0
mole020,31786000,20,0
mole021,31786000,20,0
mole022,31786000,20,0
mole023,31786000,20,0
mole024,31786000,20,0
mole025,31786000,20,0
mole026,31786000,20,0
mole027,31786000,20,0
mole028,31786000,20,0
mole029,31786000,20,0
mole030,31786000,20,0
mole031,31786000,20,0
mole032,31786000,20,0
mole033,31786000,20,0
mole034,31786000,20,0
mole035,31786000,20,0
mole036,31786000,20,0
mole037,31786000,20,0
mole038,31786000,20,0
mole039,31905000,20,0
mole040,31786000,20,0
mole041,31786000,20,0
mole042,31786000,20,0
mole043,31786000,20,0
mole044,31786000,20,0
mole045,31786000,20,0
mole046,31786000,20,0
mole047,31786000,20,0
mole048,31786000,20,0
mole049,31786000,20,0
mole050,31786000,20,0
mole051,31786000,20,0
mole052,31786000,20,0
mole053,31786000,20,0
mole054,31786000,20,0
mole055,31786000,20,0
mole056,31786000,20,0
mole057,31786000,20,0
mole058,31786000,20,0
mole059,31786000,20,0
mole060,31786000,20,0
mole061,31786000,20,0
mole062,31786000,20,0
mole063,31786000,20,0
mole064,31786000,20,0
mole065,31786000,20,0
mole066,31786000,20,0
mole067,31786000,20,0
mole068,23722000,20,0
mole069,31786000,20,0
mole070,31786000,20,0
mole071,31786000,20,0
mole072,31786000,20,0
mole073,31786000,20,0
mole074,31786000,20,0
mole075,31786000,20,0
mole076,31786000,20,0
mole077,31786000,20,0
mole078,31786000,20,0
mole079,31786000,20,0
mole080,31786000,20,0
mole081,31786000,20,0
mole082,31786000,20,0
mole083,31786000,20,0
mole084,31786000,20,0
mole085,31786000,20,0
mole086,31786000,20,0
mole087,23722000,20,0
mole088,31786000,20,0
mole089,31786000,20,0
mole090,31786000,20,0
mole091,31786000,20,0
mole092,31786000,20,0
mole093,31786000,20,0
mole094,31786000,20,0
mole095,31786000,20,0
mole096,31786000,20,0
mole097,31786000,20,0
mole098,31786000,20,0
mole099,31786000,20,0
mole100,31786000,20,0
mole101,31786000,20,0
mole102,31786000,20,0
mole103,31786000,20,0
mole104,23722000,20,0
mole105,31786000,20,0
mole106,31786000,20,0
mole107,31786000,20,0
mole108,31786000,20,0
mole109,31786000,20,0
mole110,31786000,20,0
mole111,31786000,20,0
mole112,31786000,20,0
mole113,31786000,20,0
mole114,31786000,20,0
mole115,31786000,20,0
mole116,31786000,20,0
mole117,31786000,20,0
mole118,31786000,20,0
mole119,31786000,20,0
mole120,31786000,20,0
warlock01,128509000,32,0
warlock02,128508000,32,0
warlock03,128508000,32,0
warlock04,128511000,32,0
warlock05,386190000,128,0
warlock06,386189000,128,0
warlock07,386189000,128,0
warlock08,386189000,128,0
warlock09,1547330000,128,0
warlock10,1547330000,128,0
warlock11,257484000,128,0
warlock12,257557000,128,0
warlock13,257555000,128,0
warlock14,1031653000,128,0
warlock15,1547716000,128,0
warlock16,515520000,64,8
warlock17,515549000,64,8
warlock18,257439000,128,0
warlock19,257440000,128,0
warlock20,257440000,128,0
warlock21,257440000,128,0
wizard01,94997000,32,4
wizard02,95012000,32,4
wizard03,95126000,32,4
wizard04,94997000,32,4
wizard05,94997000,32,4
wizard06,94997000,32,4
wizard07,94997000,32,4
wizard08,95012000,32,4
wizard09,94997000,32,4
wizard10,94997000,32,3
wizard11,94997000,32,4
wizard12,95011000,32,4
wizard13,95012000,32,4
wizard14,95012000,32,4
wizard15,95012000,32,4
wizard16,95010000,32,4
wizard17,95012000,32,4
wizard18,95012000,32,4
wizard19,95012000,32,4
wizard20,1547452000,32,2
wizard21,1546450000,32,2
wizard22,96037000,32,0
wizard23,96037000,32,0
wizard24,1547462000,32,0
wizard25,95034000,32,0
wizard26,96037000,32,0
wizard27,96037000,32,0
wizard28,96037000,32,0
wizard29,95011000,32,4
wizard30,772326000,64,0
wizard31,772309000,64,0
wizard32,94805000,40,4
wizard33,94805000,40,4
wizard34,94847000,40,4
wizard35,191709000,40,4
wizard36,191716000,48,4
wizard37,191717000,48,4
wizard38,191717000,48,4
wizard39,257313000,24,0
