JobName,ReqMem,ReqCPUs,ReqGPUs,ReqDuration,ActualDuration,Submit
job140,4000000,1,0,90000,8418,1612159201
job141,50000000,1,0,72000,15843,1612164927
job142,50000000,1,0,72000,54440,1612164927
job143,50000000,1,0,72000,54440,1612164927
job144,50000000,1,0,72000,54440,1612164927
job145,50000000,1,0,72000,54440,1612164927
job146,50000000,1,0,72000,54440,1612164927
job147,50000000,1,0,72000,54440,1612164927
job148,50000000,1,0,72000,54440,1612164927
job149,50000000,1,0,72000,54440,1612164927
job150,50000000,1,0,72000,54440,1612164927
job151,256000000,1,0,342000,1396,1612165821
job152,256000000,1,0,342000,6412,1612166214
job153,16000000,1,0,86340,23071,1612167154
job154,16000000,1,0,86340,23113,1612167154
job155,16000000,1,0,86340,20202,1612167154
job156,16000000,1,0,86340,20167,1612167154
job157,16000000,1,0,86340,19625,1612167154
job158,16000000,1,0,86340,19691,1612167154
job159,16000000,1,0,86340,20304,1612167154
job160,16000000,1,0,86340,20429,1612167155
job161,16000000,1,0,86340,21758,1612167155
job162,16000000,1,0,86340,16759,1612167155
job163,32000000,1,0,82800,12980,1612167196
job164,70000000,16,0,10800,4787,1612167686
job165,20000000,20,0,518400,3,1612167696
job166,16000000,16,0,172740,49128,1612167699
job167,16000000,16,0,172740,47628,1612167699
job168,16000000,16,0,172740,45862,1612167699
job169,16000000,16,0,172740,45914,1612167699
job170,20000000,1,0,82800,1687,1612169971
job171,20000000,1,0,82800,1616,1612169971
job172,20000000,1,0,82800,3975,1612169980
job173,20000000,1,0,82800,4158,1612169980
job174,10000000,1,2,360,360,1612170000
job175,10000000,1,2,360,360,1612170000
job176,10000000,1,2,360,360,1612170000
job177,10000000,1,2,360,360,1612170001
job178,10000000,1,2,360,114,1612170003
job179,10000000,1,2,360,116,1612170003
job180,10000000,1,2,360,117,1612170003
job181,10000000,1,2,360,118,1612170005
job182,10000000,1,2,360,119,1612170006
job183,10000000,1,2,360,59,1612170006
job184,32000000,32,0,216000,95936,1612170006
job185,10000000,1,2,21600,14173,1612170239
job186,10000000,1,2,21960,17354,1612170239
job187,10000000,1,2,21960,13980,1612170239
job188,10000000,1,2,21960,14143,1612170239
job189,10000000,1,2,21960,14100,1612170239
job190,10000000,1,2,21600,14191,1612170580
job191,10000000,1,2,21960,14107,1612170580
job192,10000000,1,2,21960,14079,1612170580
job193,10000000,1,2,21960,14239,1612170580
job194,10000000,1,2,21960,14276,1612170580
job195,10000000,1,2,21600,8015,1612170581
job196,10000000,1,2,21960,7918,1612170581
job197,10000000,1,2,21960,9828,1612170581
job198,10000000,1,2,21960,7977,1612170581
job199,10000000,1,2,21960,7957,1612170582
job200,10000000,1,2,21960,18966,1612170583
job201,10000000,1,2,21960,19024,1612170583
job202,10000000,1,2,21960,19030,1612170583
job203,10000000,1,2,21960,18992,1612170583
job204,10000000,1,2,21600,19299,1612170586
job205,10000000,1,2,21960,19137,1612170586
job206,10000000,1,2,21960,19048,1612170586
job207,10000000,1,2,21960,19159,1612170586
job208,10000000,1,2,21960,19209,1612170586
job209,10000000,1,2,21600,9887,1612170587
job210,10000000,1,2,21960,12138,1612170587
job211,10000000,1,2,21960,9892,1612170587
job212,10000000,1,2,21960,9836,1612170587
job213,10000000,1,2,21960,9898,1612170587
job214,12000000,6,0,43200,62,1612171289
job215,12000000,6,0,43200,62,1612171290
job216,10000000,1,0,82800,987,1612171372
job217,10000000,1,0,82800,991,1612171372
job218,10000000,1,0,82800,12,1612171372
job219,10000000,1,0,82800,12,1612171372
job220,10000000,1,0,82800,12,1612171372
job221,10000000,1,0,82800,12,1612171372
job222,10000000,1,0,82800,9,1612171372
job223,10000000,1,0,82800,8,1612171372
job224,10000000,1,0,82800,9,1612171372
job225,10000000,1,0,82800,9,1612171372
job226,1000000,4,0,43200,303,1612171524
job227,32000000,4,0,86400,7004,1612171570
job228,5000000,20,0,43200,833,1612171601
job229,256000000,1,0,342000,294516,1612171741
job230,4000000,1,0,345600,4010,1612172163
job231,4000000,1,0,345600,2924,1612172163
job232,4000000,1,0,345600,4165,1612172163
job233,4000000,1,0,345600,4873,1612172163
job234,4000000,1,0,345600,4133,1612172163
job235,4000000,1,0,345600,4122,1612172164
job236,4000000,1,0,345600,2751,1612172164
job237,4000000,1,0,345600,3963,1612172164
job238,4000000,1,0,345600,3353,1612172164
job239,4000000,1,0,345600,3161,1612172164
job240,4000000,1,0,345600,3190,1612172164
job241,4000000,1,0,345600,2916,1612172164
job242,4000000,1,0,345600,3784,1612172164
job243,4000000,1,0,345600,2713,1612172165
job244,4000000,1,0,345600,2954,1612172165
job245,4000000,1,0,345600,3175,1612172165
job246,4000000,1,0,345600,2193,1612172165
job247,4000000,1,0,345600,2592,1612172165
job248,4000000,1,0,345600,2361,1612172166
job249,4000000,1,0,345600,3503,1612172166
job250,4000000,1,0,345600,4990,1612172166
job251,4000000,1,0,345600,4990,1612172166
job252,4000000,1,0,345600,1827,1612172166
job253,4000000,1,0,345600,2372,1612172166
job254,4000000,1,0,345600,3289,1612172166
job255,4000000,1,0,345600,4980,1612172167
job256,4000000,1,0,345600,3942,1612172167
job257,4000000,1,0,345600,3626,1612172167
job258,4000000,1,0,345600,2091,1612172167
job259,4000000,1,0,345600,3222,1612172167
job260,4000000,1,0,345600,3230,1612172167
job261,4000000,1,0,345600,3828,1612172168
job262,4000000,1,0,345600,3204,1612172168
job263,4000000,1,0,345600,4980,1612172168
job264,4000000,1,0,345600,1703,1612172168
job265,4000000,1,0,345600,4057,1612172168
job266,4000000,1,0,345600,3174,1612172169
job267,4000000,1,0,345600,3193,1612172169
job268,4000000,1,0,345600,4389,1612172169
