JobName,ReqMem,ReqCPUs,ReqGPUs,ReqDuration,ActualDuration,Submit
job1,31000000,1,0,86400,29838651,1580141192
job2,1000000,1,0,172800,19518204,1589856931
job3,8000000,8,0,86400,19467503,1590527240
job4,8000000,8,0,86400,19467382,1590527359
job5,1000000,1,0,259200,19381438,1590586619
job6,1000000,1,0,259200,19379507,1590586619
job7,120000000,32,0,360000,19384619,1590610139
job8,20000000,32,2,2160000,4,1607433935
job9,16000000,1,0,2163600,2,1607433935
job10,16000000,1,0,2163600,3,1607433935
job11,20000000,6,1,2160000,3,1607433935
job12,20000000,32,2,2160000,4,1607433935
job13,20000000,32,2,2160000,4,1607433935
job14,20000000,8,1,2160000,3,1607433935
job15,20000000,32,2,2160000,4,1607433935
job16,20000000,8,1,2160000,3,1607433935
job17,16000000,1,0,1803600,3,1607662980
job18,16000000,1,0,1803600,3,1607662997
job19,16000000,1,0,1803600,3,1607663016
job20,16000000,1,0,1803600,3,1607663025
job21,16000000,1,0,1803600,3,1607663037
job22,16000000,1,0,1803600,3,1607663050
job23,16000000,1,0,1803600,2,1607663065
job24,16000000,1,0,1803600,2,1607663074
job25,16000000,1,0,1803600,3,1607705981
job26,8000000,8,1,1677600,1677609,1607972617
job27,16000000,1,0,1803600,2,1608052095
job28,16000000,1,0,1803600,3,1608053292
job29,16000000,1,0,2163600,2,1608076105
job30,16000000,1,0,1803600,3,1608144330
job31,16000000,1,0,1803600,3,1608144356
job32,16000000,1,0,1803600,2,1608175288
job33,16000000,16,1,1200600,1200614,1608397903
job34,72000000,6,0,1123200,1123226,1608420768
job35,90000000,6,0,1123200,1123225,1608420920
job36,90000000,6,0,1123200,1123222,1608421074
job37,90000000,6,0,1123200,1123208,1608421448
job38,90000000,6,0,1123200,1123202,1608421780
job39,90000000,6,0,1036800,1036820,1608514202
job40,90000000,6,0,1036800,1036810,1608514392
job41,96000000,6,0,1036800,1036812,1608514539
job42,84000000,6,0,1036800,1036809,1608515480
job43,120000000,8,0,1036800,1036822,1608515766
job44,102000000,6,0,1036800,1036812,1608515866
job45,102000000,6,0,1036800,1036803,1608515997
job46,120000000,8,0,1036800,1036803,1608516127
job47,84000000,6,0,1036800,1036801,1608516328
job48,96000000,8,0,1036800,1036823,1608516427
job49,280000000,14,0,1036800,1036814,1608516676
job50,128000000,1,0,1296000,1296009,1608576672
job51,128000000,1,0,1296000,1296007,1608576950
job52,12000000,20,0,1296000,1296028,1608589860
job53,8000000,8,1,1202400,1202400,1608653688
job54,8000000,8,1,1200600,1200600,1608653777
job55,8000000,8,1,1200600,1200616,1608653941
job56,8000000,8,1,1200600,1200600,1608654108
job57,8000000,8,1,1200600,1200612,1608654186
job58,8000000,8,1,1200600,1200622,1608654266
job59,8000000,8,1,1200600,1200626,1608654322
job60,8000000,8,1,1202400,1202418,1608654388
job61,8000000,8,1,1202400,1202420,1608654448
job62,400000000,16,0,1249200,1249226,1608658620
job63,400000000,24,0,2419200,3,1608658726
job64,32000000,32,0,1216800,1216811,1608663506
job65,8000000,8,1,1202400,843558,1608664398
job66,16000000,16,1,1202400,1202403,1608664490
job67,8000000,8,1,1200600,1200611,1608665142
job68,8000000,8,1,1200600,1200613,1608665529
job69,8000000,8,1,1200600,1200626,1608665607
job70,8000000,8,1,1200600,1200617,1608665705
job71,8000000,8,1,1200600,1200613,1608665769
job72,8000000,8,1,1200600,1200603,1608665929
job73,8000000,8,1,1200600,1200613,1608666010
job74,8000000,8,1,1200600,1200621,1608666122
job75,8000000,8,1,1200600,1200609,1608666163
job76,128000000,8,0,1209600,1067229,1608667431
job77,50000000,50,0,691200,691222,1608871284
job79,80000000,80,0,691200,691200,1608871397
job81,80000000,80,0,691200,687741,1608967054
job83,20000000,20,0,518400,518401,1608994639
job84,32000000,32,0,864000,464862,1609039644
job85,32000000,32,0,864000,554649,1609039644
job86,32000000,32,0,864000,682906,1609039644
job87,32000000,32,0,864000,513828,1609039644
job88,128000000,16,0,536400,536428,1609044731
job89,256000000,1,0,687600,329598,1609166528
job90,72000000,6,0,604800,562424,1609172249
job91,128000000,16,0,536400,536409,1609176238
job92,20000000,20,0,518400,404796,1609256221
job93,128000000,256,0,345600,279159,1609260169
job94,84000000,6,0,518400,240545,1609263108
job95,2000000,1,0,516600,215883,1609276455
job96,2000000,1,0,516600,221423,1609276475
job97,2000000,1,0,516600,234716,1609276482
job98,2000000,1,0,516600,216634,1609276641
job99,16000000,1,0,345600,266865,1609276862
job100,200000000,1,0,345600,345618,1609280539
job101,128000000,256,0,345600,90241,1609283677
job102,120000000,32,2,619200,579012,1609285143
job103,16000000,8,0,518400,518405,1609287176
job104,16000000,8,0,518400,518412,1609287199
job105,16000000,8,0,518400,518412,1609287228
job106,16000000,8,0,518400,518422,1609287248
job107,400000000,100,0,257400,251619,1609294242
job109,192000000,96,0,430200,430224,1609347168
job111,120000000,32,2,554400,439298,1609349266
job112,84000000,6,0,432000,383703,1609350964
job113,120000000,32,2,554400,506879,1609357277
job114,32000000,32,0,216000,200107,1609378685
job115,32000000,32,0,216000,145055,1609378685
job116,32000000,32,0,216000,144014,1609378685
job117,32000000,32,0,216000,216019,1609378685
job118,32000000,32,0,216000,216019,1609378685
job119,32000000,32,0,216000,216019,1609378685
job120,32000000,32,0,216000,216019,1609378685
job121,32000000,32,0,216000,126996,1609378705
job122,32000000,32,0,216000,126166,1609378705
job123,32000000,32,0,216000,216017,1609394758
job124,32000000,32,0,216000,216012,1609394758
job125,32000000,32,0,216000,168891,1609394767
job126,32000000,32,0,216000,189547,1609394767
job127,32000000,32,0,216000,188566,1609394767
job128,40000000,40,0,216000,174115,1609395724
job129,40000000,40,0,216000,172633,1609395724
job130,40000000,40,0,216000,197866,1609395724
job131,40000000,40,0,216000,207501,1609395724
job132,40000000,40,0,216000,216029,1609395825
job133,40000000,40,0,216000,216029,1609395825
job134,40000000,40,0,216000,216021,1609395825
job135,40000000,40,0,216000,216021,1609395825
job136,32000000,32,0,216000,196279,1609399926
job137,150000000,20,0,72000,72012,1609415187
job138,200000000,1,0,86340,86349,1609417210
job139,200000000,1,0,86340,86369,1609424992
job140,30000000,96,0,43200,20602,1609431531
job146,30000000,96,0,21600,8579,1609431531
job150,30000000,96,0,21600,18965,1609431531
job158,30000000,96,0,21600,21610,1609431531
job163,30000000,96,0,21600,21610,1609431531
job166,30000000,96,0,21600,21629,1609431532
job169,30000000,96,0,21600,21629,1609431532
job172,30000000,96,0,21600,21602,1609431532
job175,20000000,20,0,518400,4,1609432661
job176,32000000,32,0,216000,161604,1609434377
job177,20000000,20,0,518400,3,1609436069
job178,20000000,20,0,518400,3,1609436439
job179,32000000,32,0,345600,242060,1609438095
job180,16000000,16,0,172740,44253,1609438303
job181,16000000,16,0,172740,49978,1609438304
job182,16000000,16,0,172740,43100,1609438304
job183,16000000,16,0,172740,50434,1609438305
job184,16000000,16,0,172740,50067,1609438305
job185,16000000,16,0,172740,50346,1609438305
job186,16000000,16,0,172740,49746,1609438306
job187,16000000,16,0,172740,54085,1609438306
job188,16000000,16,0,172740,53804,1609438306
job189,16000000,16,0,172740,46096,1609438308
job190,16000000,16,0,172740,54427,1609438308
job191,16000000,16,0,172740,150410,1609438308
job192,16000000,16,0,172740,44097,1609438308
job193,16000000,16,0,172740,44788,1609438308
job194,16000000,16,0,172740,60266,1609438308
job195,16000000,16,0,172740,59840,1609438309
job196,16000000,16,0,172740,60101,1609438310
job197,16000000,16,0,172740,60315,1609438310
job198,16000000,16,0,172740,59692,1609438310
job199,16000000,16,0,172740,60142,1609438311
job200,16000000,16,0,172740,59121,1609438311
job201,16000000,16,0,172740,59359,1609438311
job202,16000000,16,0,172740,59778,1609438311
job203,16000000,16,0,172740,59986,1609438311
job204,16000000,16,0,172740,59898,1609438311
job205,16000000,16,0,172740,59824,1609438312
job206,16000000,16,0,172740,60207,1609438312
job207,16000000,16,0,172740,59277,1609438312
job208,16000000,16,0,172740,58880,1609438312
job209,16000000,16,0,172740,58772,1609438312
job210,16000000,16,0,172740,57371,1609438313
job211,16000000,16,0,172740,52201,1609438313
job212,16000000,16,0,172740,55315,1609438313
job213,16000000,16,0,172740,56889,1609438313
job214,16000000,16,0,172740,56187,1609438313
job215,16000000,16,0,172740,56503,1609438313
job216,16000000,16,0,172740,57655,1609438314
job217,16000000,16,0,172740,57570,1609438314
job218,16000000,16,0,172740,58269,1609438314
job219,16000000,16,0,172740,58073,1609438314
job220,16000000,16,0,172740,57001,1609438315
job221,16000000,16,0,172740,58341,1609438315
job222,16000000,16,0,172740,58393,1609438315
job223,16000000,16,0,172740,58096,1609438315
job224,16000000,16,0,172740,59397,1609438315
job225,16000000,16,0,172740,59408,1609438316
job226,16000000,16,0,172740,59081,1609438316
job227,192000000,96,0,257400,82088,1609441403
job229,192000000,96,0,430200,430208,1609441520
job231,8000000,8,0,1296000,4,1609450356
job232,8000000,8,0,1296000,4,1609450356
job233,8000000,8,0,1296000,4,1609450356
job234,8000000,8,0,1296000,4,1609450357
job235,8000000,8,0,1296000,4,1609450357
job236,8000000,8,0,1296000,4,1609450357
