Machines File: more_machines.csv
Jobs File: 200_jobs.csv
Agent file: actor_5k.pt
Agent file: actor_5k.pt

Trial,Decision_Method,AQT_sec,Simulation_Time_sec,Num_agent_corrections
1,Oracle,35123.95945945946,0.12,0
1,Best Bin First,35123.95945945946,0.14,0
1,PPO Agent 5k,101700.75675675676,0.1,138
1,PPO Agent 3M,47333.01351351351,0.11,148
2,Oracle,35123.95945945946,0.07,0
2,Best Bin First,35123.95945945946,0.07,0
2,PPO Agent 5k,101700.75675675676,0.1,138
2,PPO Agent 3M,47333.01351351351,0.1,148
3,Oracle,35123.95945945946,0.04,0
3,Best Bin First,35123.95945945946,0.05,0
3,PPO Agent 5k,101700.75675675676,0.11,138
3,PPO Agent 3M,47333.01351351351,0.12,148
4,Oracle,35123.95945945946,0.06,0
4,Best Bin First,35123.95945945946,0.06,0
4,PPO Agent 5k,101700.75675675676,0.07,138
4,PPO Agent 3M,47333.01351351351,0.1,148
5,Oracle,35123.95945945946,0.07,0
5,Best Bin First,35123.95945945946,0.04,0
5,PPO Agent 5k,101700.75675675676,0.1,138
5,PPO Agent 3M,47333.01351351351,0.1,148
