Machines File: more_machines.csv
Jobs File: 5000_jobs_eval.csv
Agent file: actor_5k.pt
Agent file: actor_5k.pt

Trial,Decision_Method,AQT_sec,Simulation_Time_sec,Num_agent_corrections
1,Oracle,26007.4168,418.358,0
1,Best Bin First,29708.7146,376.777,0
1,PPO Agent 5k,31518.7466,394.88,34268
1,PPO Agent 3M,33184.9352,388.027,24128
2,Oracle,26007.4168,407.828,0
2,Best Bin First,29708.7146,378.953,0
2,PPO Agent 5k,31518.7466,398.651,34268
2,PPO Agent 3M,33184.9352,389.542,24128
3,Oracle,26007.4168,403.217,0
3,Best Bin First,29708.7146,378.56,0
3,PPO Agent 5k,31518.7466,399.5,34268
3,PPO Agent 3M,33184.9352,390.139,24128
4,Oracle,26007.4168,404.884,0
4,Best Bin First,29708.7146,380.21,0
4,PPO Agent 5k,31518.7466,399.166,34268
4,PPO Agent 3M,33184.9352,389.788,24128
5,Oracle,26007.4168,403.747,0
5,Best Bin First,29708.7146,380.392,0
5,PPO Agent 5k,31518.7466,399.712,34268
5,PPO Agent 3M,33184.9352,390.557,24128
6,Oracle,26007.4168,403.237,0
6,Best Bin First,29708.7146,380.159,0
6,PPO Agent 5k,31518.7466,398.313,34268
6,PPO Agent 3M,33184.9352,390.188,24128
7,Oracle,26007.4168,403.393,0
7,Best Bin First,29708.7146,380.438,0
7,PPO Agent 5k,31518.7466,399.002,34268
7,PPO Agent 3M,33184.9352,391.708,24128
8,Oracle,26007.4168,404.59,0
8,Best Bin First,29708.7146,380.997,0
8,PPO Agent 5k,31518.7466,399.001,34268
8,PPO Agent 3M,33184.9352,390.131,24128
9,Oracle,26007.4168,404.461,0
9,Best Bin First,29708.7146,380.349,0
9,PPO Agent 5k,31518.7466,399.564,34268
9,PPO Agent 3M,33184.9352,389.331,24128
10,Oracle,26007.4168,404.935,0
10,Best Bin First,29708.7146,380.809,0
10,PPO Agent 5k,31518.7466,399.447,34268
10,PPO Agent 3M,33184.9352,390.136,24128
11,Oracle,26007.4168,405.762,0
11,Best Bin First,29708.7146,380.253,0
11,PPO Agent 5k,31518.7466,397.972,34268
11,PPO Agent 3M,33184.9352,389.644,24128
12,Oracle,26007.4168,423.173,0
12,Best Bin First,29708.7146,380.552,0
12,PPO Agent 5k,31518.7466,398.794,34268
12,PPO Agent 3M,33184.9352,390.103,24128
13,Oracle,26007.4168,404.023,0
13,Best Bin First,29708.7146,381.312,0
13,PPO Agent 5k,31518.7466,399.677,34268
13,PPO Agent 3M,33184.9352,390.24,24128
14,Oracle,26007.4168,404.642,0
14,Best Bin First,29708.7146,380.254,0
14,PPO Agent 5k,31518.7466,398.855,34268
14,PPO Agent 3M,33184.9352,391.484,24128
15,Oracle,26007.4168,404.359,0
15,Best Bin First,29708.7146,380.592,0
15,PPO Agent 5k,31518.7466,399.939,34268
15,PPO Agent 3M,33184.9352,390.516,24128
16,Oracle,26007.4168,403.852,0
16,Best Bin First,29708.7146,381.158,0
16,PPO Agent 5k,31518.7466,401.5,34268
16,PPO Agent 3M,33184.9352,392.477,24128
17,Oracle,26007.4168,404.259,0
17,Best Bin First,29708.7146,382.47,0
17,PPO Agent 5k,31518.7466,399.112,34268
17,PPO Agent 3M,33184.9352,390.465,24128
18,Oracle,26007.4168,404.152,0
18,Best Bin First,29708.7146,380.008,0
18,PPO Agent 5k,31518.7466,399.079,34268
18,PPO Agent 3M,33184.9352,390.546,24128
19,Oracle,26007.4168,402.948,0
19,Best Bin First,29708.7146,380.82,0
19,PPO Agent 5k,31518.7466,399.451,34268
19,PPO Agent 3M,33184.9352,390.233,24128
20,Oracle,26007.4168,402.377,0
20,Best Bin First,29708.7146,380.781,0
20,PPO Agent 5k,31518.7466,399.246,34268
20,PPO Agent 3M,33184.9352,389.759,24128
